Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C,C1,10nF,SMD-0805,1,
2,,C,C2,100nF,SMD-0805,1,
3,,C,C3,10uF,SMD-0805,1,
4,,DIODE,D1,BZV55C,Diode-MiniMELF_Standard,1,
5,,JUMP_2x1,J2,JUMP_2x1,Straight_1x02,1,
6,,JUMP_3X2,J1J3,JUMP_3X2,Straight_2x03,2,
7,,R,R1R2,R,SMD-0805,2,
8,,IQXO/7X,X1,"ASFL1, ASFLK",ASFL1,1,
9,,IQXO/7X,X2,"CFPS-72,CFPS-73","CFPS-72,73",1,
10,,IQXO/7X,X6,I533_I534_I733_I734_Series,I533_1534_1733_1734,1,
11,,IQXO/7X,X7,ISM81,ISM81,1,
12,,IQXO/7X,X3,ISM92,ISM92,1,
13,,IQXO/7X,X8,ISM95,ISM95,1,
14,,IQXO/7X,X4,ISM97,ISM97,1,
15,,IQXO/7X,X9,OSC-F,OSC-F,1,
16,,IQXO/7X,X5,OSC-H,OSC-H,1,
